word,birth_year,peak_year,peak_value,death_year,status,sharpness,total_freq
가성비,2014,2023,14.43573379414603,,alive,1.3181419648301311,31958
가심비,2011,2022,185.9180470399074,,alive,3.7875773948906777,1668903
갓생,2021,2023,35.0,,alive,4.3,40000
갤럭시,2014,2014,93.17764719055104,2017,dormant,3.958864315995741,889071
골프,2018,2024,392.2460002940555,,alive,1.300598971421255,2323677
네이트온,2009,2011,60.0,2017,dormant,3.5,200000
넷플릭스,2009,2023,182.6792764988958,,alive,2.167068942345197,933704
닌텐도DS,2011,2015,96.96520905523748,2020,dormant,1.5193168571881226,132089
다마고치,2009,2018,15.0,,declining,3.9,38000
디토소비,2022,2023,363.2026573413377,2024,dormant,3.5945525691710007,2047628
럭키비키,2016,2022,38.13830247279674,,alive,1.9501675041973716,2820030
롱패딩,2016,2018,65.0,2022,dormant,4.4,80000
마스크,2018,2018,75.46760221877965,,declining,1.2849510685182615,1865858
마인크래프트,2011,2020,140.0,,declining,2.6,900000
메타버스,2021,2022,300.0,,alive,5.5,500000
무지출챌린지,2021,2023,81.71003401438284,,alive,4.221276516595377,2172653
미니홈피,2009,2010,45.0,2018,dormant,4.5,90000
미투데이,2021,2023,295.1946371480427,2024,dormant,3.4558675699004198,2800908
밈,2017,2021,394.1485270533532,,declining,3.9204920519166824,254960
반려동물,2012,2022,160.2182917869851,2024,dormant,2.784630887261493,1270727
버디버디,2012,2020,30.66654557376312,,declining,1.5676948459692224,524876
복세편살,2012,2020,171.86437285930936,,declining,3.2239465102260585,1139929
부캐,2014,2024,104.45000220289424,,alive,2.584561773073447,2134630
빚투,2013,2016,123.23233232710514,2022,dormant,6.528112466867172,278076
삐삐,2009,2016,12.0,2021,dormant,4.8,45000
세이클럽,2009,2012,25.0,2020,dormant,4.1,60000
소확행,2010,2021,38.35777596431707,,declining,1.2607438862458789,2174080
숏폼,2021,2024,220.0,,alive,3.4,260000
스마트폰,2009,2013,320.0,,declining,1.41,15000000
스키니진,2009,2012,30.0,2019,dormant,3.0,40000
슬리퍼,2009,2019,50.0,,declining,1.8,150000
시티폰,2010,2015,8.0,2019,dormant,5.2,21000
싸이월드,2011,2020,190.238473383119,2023,dormant,2.019932344727988,1277023
아이러브스쿨,2017,2021,220.78410497307476,2024,dormant,4.954155194503494,1351010
아이팟,2014,2021,389.314880518231,,declining,1.7620308701578207,2568273
아이폰,2009,2016,179.13046335034804,,declining,3.308609347669511,2158435
안습,2009,2011,18.0,2016,dormant,4.2,22000
엠피쓰리,2009,2010,20.0,2017,dormant,3.6,25000
영끌,2019,2023,219.94633428172924,,alive,4.035715641324515,1039938
오운완,2020,2022,25.0,,alive,3.9,30000
워라밸,2009,2009,263.8435155556083,,declining,1.2909475570681321,2130370
위드코로나,2018,2023,128.11021673440436,,alive,6.228478276302919,964860
유튜브,2009,2020,600.0,,declining,1.8,12000000
인공지능,2016,2019,352.68486068478046,,declining,3.260353629173592,48048
인스타그램,2011,2021,500.0,,declining,2.0,7000000
인싸,2018,2019,60.0,,declining,4.6,85000
재택근무,2015,2019,137.03411835675197,,declining,4.791978328330329,2950736
존버,2016,2021,237.83228225975714,2022,dormant,4.062991673695985,2834032
즐,2009,2010,10.0,2015,dormant,3.8,12000
짤방,2014,2020,157.87673395742084,2021,dormant,2.391607421859045,742342
챌린지,2015,2021,180.0,,declining,2.1,1100000
챗봇,2011,2018,313.49916342205483,,declining,4.996214929482445,683593
챗지피티,2022,2023,850.0,,alive,6.41,1200000
치맥,2019,2020,116.61193724096898,2023,dormant,2.1388863945659766,1615688
카카오톡,2010,2015,400.0,,declining,1.6,9000000
캠핑,2009,2012,257.17394054167494,,declining,5.20263021245897,439769
케미,2016,2021,169.92268389349076,2023,dormant,2.324530714229623,1148924
코로나,2011,2024,253.2283561433081,,alive,2.973560011315455,2748597
크롭티,2009,2023,55.0,,alive,3.2,70000
탕진잼,2014,2018,14.112678600039477,,declining,2.5525886748401696,2237401
판도라티비,2018,2018,41.54203788942499,2022,dormant,1.7363417338857043,932464
폴더폰,2009,2011,40.0,2019,dormant,3.7,55000
플렉스,2018,2018,228.44035894862196,,declining,2.041830209986047,2025426
혼밥,2022,2023,53.275854204106196,,alive,3.56325427491904,300202
혼술,2018,2020,226.34730886554823,,declining,2.4262469102958213,2631814
홈트,2015,2021,104.75650211694317,,declining,9.0,2314776
